k,DSet
2,-3.852682243
3,-2.705103339
4,-2.15149921
5,-1.510712163
6,-1.299904975
7,-1.022139669
8,-0.877155706
9,-0.707666322
10,-0.516195493
11,-0.530470172
12,-0.263613986
13,-0.321817625
14,-0.301388705
15,-0.231053316
16,-0.238992872
17,-0.187809657
18,-0.180149151
19,-0.112218746
20,-0.116681867
21,-0.093462712
22,-0.078179765
23,-0.022109287
24,-0.049517773
25,-0.026444628
26,-0.043462974
27,0.042503102
28,-0.032890254
29,0.027541272
30,-0.006629025
31,0.050086444
32,0.024283289
33,0.065759688
34,0.046661936
35,0.075557696
36,0.056781316
37,0.117882813
38,0.043491878
39,0.155743865
40,0.046856946
41,0.072875677
42,0.115403373
43,0.065868793
44,0.109249524
45,0.129314051
46,0.130205298
47,0.097449994
48,0.096539108
49,0.110091917
50,0.1305127
51,0.113329464
52,0.09193157
53,0.157968147
54,0.188937515
55,0.142774527
56,0.113227378
57,0.146116646
58,0.163273389
59,0.10415002
60,0.125624757
61,0.170824374
62,0.138960471
63,0.132998549
64,0.178699254
65,0.164047391
66,0.161481708
67,0.166155909
68,0.202242208
69,0.130658521
70,0.146389965
71,0.166850646
72,0.180748409
73,0.167214412
74,0.125480275
75,0.174307979
76,0.153673605
77,0.138460595
78,0.167049731
79,0.152208744
80,0.206964544
81,0.243246356
82,0.153179285
83,0.217734239
84,0.170960827
85,0.144523947
86,0.164905982
87,0.172619449
88,0.178466525
89,0.235381028
90,0.174550223
91,0.193792962
92,0.177472672
93,0.199137295
94,0.184901933
95,0.180054946
96,0.16777376
97,0.190739271
98,0.192473101
99,0.188366393
100,0.233584469
