k,SDSet
2,-1.154881338
3,-2.307379719
4,-3.408625153
5,-5.059954995
6,-6.387160347
7,-7.7848116
8,-9.436083065
9,-11.59584557
10,-16.34119935
11,-15.50281779
12,-33.79756668
13,-27.08314642
14,-28.06018422
15,-36.9325392
16,-36.80666887
17,-47.38028152
18,-49.72388992
19,-76.57993904
20,-76.83757656
21,-95.37103494
22,-114.7329189
23,-400.8567524
24,-183.2399966
25,-343.5897827
26,-203.3337229
27,206.1668002
28,-276.6672891
29,334.0116416
30,-1366.128239
31,176.6644419
32,372.2803435
33,140.5411858
34,195.7078919
35,118.093914
36,159.4293194
37,78.20145454
38,209.5680992
39,59.59205831
40,193.5453623
41,121.1742826
42,78.58828598
43,140.7321743
44,84.89252045
45,70.46963372
46,71.35755244
47,94.83503686
48,96.08960373
49,84.78213505
50,71.96004603
51,80.80909007
52,99.84799426
53,58.90265235
54,49.70601721
55,64.8047939
56,82.24425883
57,63.69971547
58,57.47915885
59,89.22856749
60,74.5420989
61,54.80453069
62,67.13602367
63,71.52928532
64,53.00000513
65,57.75156133
66,58.85182174
67,56.79465583
68,47.51092466
69,72.88161889
70,64.59940777
71,55.77212798
72,52.63747282
73,57.71953824
74,75.59837018
75,54.7966961
76,62.82653086
77,69.89844731
78,56.6267992
79,61.9366507
80,45.89342545
81,39.93067112
82,63.04048968
83,44.31941962
84,56.05687806
85,66.28923933
86,58.43857225
87,55.82285031
88,52.97097782
89,41.39633904
90,56.26301179
91,49.26020263
92,54.31616256
93,48.41452227
94,52.43376765
95,54.15523652
96,58.28625734
97,51.48473191
98,51.70830794
99,52.02611222
100,41.83048614
